title,resume,date
FIFM2019: L’Etoile d’or à « Valley of Souls » du Colombien Rincon Gille,"Le film à « Valley of Souls », du Colombien Nicolas Rincon Gille, a décroché l’Etoile d’Or récompensant le meilleur de la 18è édition Festival du film de Marrakech (FIFM). ",07 Déc 2019
FIFM2019: Le Palmarès,"La 18è édition Festival International du Film de Marrakech (FIFM) s’est clôturée en beauté, ce samedi soir dans la cité ocre, par la remise des prix aux productions sectionnées et primées par le jury, présidé par l’actrice britannique Tilda Swinton. ",07 Déc 2019
L’IMA se joint à la célébration de la journée mondiale de la langue arabe,"La Journée mondiale de la langue arabe est célébrée le 18 décembre de chaque année. L’Institut du monde arabe (IMA), et pour la cinquième fois, se joint à cette célébration, à travers une programmation éclectique destinée à faire découvrir cette langue riche et à s’ouvrir a sa culture.",08 Déc 2019
L’exposition nationale « Mains de lumière » se pose à Tétouan,"Le vernissage de l’exposition nationale  »Mains de lumière », qui regroupe les oeuvres d’artistes marocains au talent avéré, s’est déroulé vendredi soir au Centre d’art moderne de Tétouan.",08 Déc 2019
L’exposition itinérante « Sédiments de voyage » fait escale à l’Aéroport Marrakech-Menara,"L’exposition artistique itinérante « Sédiments de voyage », initiée par l’Office National des Aéroports (ONDA) en partenariat avec « Fl’âme Art Gallery », a fait escale à l’Aéroport Marrakech-Menara, dans le cadre de la célébration, le 7 décembre de chaque année, de la Journée internationale de l’Aviation civile.",08 Déc 2019
Libertés individuelles: la riposte de Bouayach à El Othmani et Ramid,"La présidente du Conseil national des droits de l’Homme (CNDH) était sur le plateau de « Confidences de presse » diffusé par 2M. A charge, Elle est revenu sur les réactions du Chef du gouvernement et du ministre d’Etat chargé des droits de l’homme qui avaient, chacun de son coté, exprimé leur rejet du mémorandum soumis par le Conseil aux deux Chambres du parlement dans le cadre de la réforme attendue du Code pénal.",10 Déc 2019
CHU Ibn Sina: infirmiers et techniciens rueront dans les brancards tous les jeudis,Les infirmières et techniciens de santé des hôpitaux affiliés au Centre Hospitalier Universitaire (CHU) Ibn Sina de Rabat s’apprêtent à organiser tous les jeudis des sit-in devant la Direction de l’établissement pour faire valoir leur dossier revendicatif et appeler au dialogue. Une décision qu’ils qualifient d’« escalade » face au non traitement de leurs demandes.  ,10 Déc 2019
HCP : 57% de la population féminine a subi au moins un acte de violence,"Le Haut-Commissariat au Plan (HCP), a publié les premiers résultats de l’enquête sur la violence à l’encontre des femmes au Maroc, réalisée entre février et juillet 2019. Il en ressort que « parmi 13,4 millions de femmes âgées de 15 à 74 ans, plus de 7,6 millions ont subi au moins un acte de violence, tous contextes et toutes formes confondus durant les douze mois précédant l’enquête, soit 57% de la population féminine ».",10 Déc 2019
Droits de l’homme: Rien n’a changé selon Khadija Ryadi,"Il y a 71 ans, et plus exactement le 10 décembre 1948, la Déclaration universelle des droits de l’homme (DUDH) a été adoptée par l’Assemblée générale des Nations unies. Une déclaration qui définit les droits fondamentaux de l’Homme.",10 Déc 2019
Un détenu en garde à vue à  la prison locale d’Al Aarjat 2 se donne la mort,"Un détenu, placé en garde à vue à la prison locale d’Al Aarjat 2, s’est donné la mort « dans sa chambre, profitant de la sortie des autres détenus en récréation, pour enrouler une serviette autour de son cou en l’attachant à la fenêtre des toilettes », a fait savoir l’administration de cet établissement pénitentiaire",10 Déc 2019
2/8 décembre: 15 morts et 1.836 blessés dans les accidents en périmètre urbain,"Les 1.404 accidents de la circulation survenus en périmètre urbain lors de la période allant du 02 au 08 décembre, ont fait un total de 15 morts et 1.836 autres ont été blessées, dont 61 grièvement. ",11 Déc 2019
Journée mondiale des DH: Des demandes pour la libération des détenus islamistes,"Saisissant l’occasion de la Journée internationale des droits de l’Homme, et dans le cadre de sa « lutte » pour la libération des personnes ayant été impliquées dans des affaires liées au terrorisme, le Comité mixte pour la défense des détenus islamistes a tenu un sit-in ce mardi devant le parlement. La première revendication de ce groupe de soutien est la libération conditionnée des détenus qui continuent de purger leur peine, notamment ceux arrêtés suite aux attentats terroristes du 16 mai 2003 à Casablanca. Un accord a été signé en 2011, mais sans lendemain. ",10 Déc 2019
Valorisation des produits du terroir: l’UM5 se rapproche de l’Université de Bordeaux,"En collaboration avec l’Université de Bordeaux, la faculté des sciences de l’Université Mohammed V Rabat (FSR) a organisé ce mardi un atelier sur « ",10 Déc 2019
Académie Goncourt : Bernard Pivot tourne sa page,"Bernard Pivot, défenseur acharné de la langue française, quitte l’Académie Goncourt qu’il présidait depuis cinq ans et dont il était membre depuis quinze ans. L’annonce a été faite ce mardi sur les réseaux sociaux. ",04 Déc 2019
Le « vide juridique » fait ressortir les infirmiers dans la rue,"Un mois après leur dernière grève, les infirmiers et techniciens de santé du Royaume ont à nouveau observé un débrayage de 48h, les 9 et 10 décembre, accompagné de sit-in régionaux devant les directions régionales du ministère de la Santé. ",11 Déc 2019
L’Académie du Royaume du Maroc poursuit son exploration des grandes régions du monde,"Dans le cadre de son exploration des grandes régions du monde, en vue de créer des passerelles entre les intellectuels des deux bords et favoriser l’échange, le dialogue et les expériences diverses dans la perspective d’une approche pluridisciplinaire, l’Académie du Royaume du Maroc, va s’intéresser, pour sa 46 ème session, aux forces du changement qui façonnent l’Asie et comprendre les processus qui ont conduit ce continent vers des expériences de modernisation.",04 Déc 2019
FIFM2019: Campagne chirurgicale gratuite en faveur de 400 personnes,"Loin du tapis rouge, du cinéma et des projecteurs, la Fondation du Festival international du film de Marrakech (FIFM) organise du 2 au 7 décembre à l’hôpital Al Antaki de Marrakech, une campagne de chirurgie gratuite de la cataracte, et ce en partenariat avec la Fondation Hassan II d’ophtalmologie et le Ministère de la Santé. Dans un acte de générosité, plusieurs célébrités marocaines et arabes ont également rendu visite aux patients. ",04 Déc 2019
Hespress décroche le 2è Migration Media Award 2019,"Nouvelle distinction pour Hespress! Le site s’est adjugé la 2ème marche du podium du Migration Media Award (MMA) 2019, pour une production de ses journalistes Wael Burchachene et Otmane Baaj sur la migration, intitulée « du contenu web incite des mineurs marocains à opter pour le Hrig ».",04 Déc 2019
FIFM2019: l’émouvant hommage rendu à Mouna Fettou,"Pour ses 25 ans de carrière et plus au théâtre, télévision et cinéma, la 18",04 Déc 2019
Casablanca: Les personnes impliquées dans l’enlèvement d’un nourrisson arrêtées,"Les éléments de la police judiciaire du district de Sidi Bernoussi à Casablanca, en coordination avec les services de la Direction générale de la surveillance du territoire (DGST), ont retrouvé, samedi matin, un nourrisson dont l’enlèvement a été signalé, la veille, par sa mère.",07 Déc 2019
Philip Morris envisage de remplacer la cigarette normale par du tabac chauffé,"La cigarette est nocive pour la santé. C’est un constat reconnu mondialement par les fumeurs et les non-fumeurs. Pour les sociétés de tabac, il faut donc réagir pour garder les clients, tout en leur proposant une alternative de « moindre dangerosité ». Cela consisterait à changer les produits actuels, la cigarette normale sur le marché depuis des décennies, par d’autres moins nocifs, contenant beaucoup moins de substances toxiques et cancérigènes.",07 Déc 2019
"Rabat, patrimoine mondial: l’UNESCO met en garde","Baptisée « capitale marocaine de la culture », Rabat est désormais menacée de perdre sa place dans la liste de Patrimoine mondial qui lui a été attribué par l’UNESCO en 2012. La construction en cours du plus haut building d’Afrique, la Tour Mohammed VI, et le projet d’agrandissement de la gare de Rabat Ville sont derrière la mise en garde de l’organisation onusienne pour la culture. ",04 Déc 2019
Le Maroc et l’Unesco veulent renforcer leur coopération,"Le Maroc et l’Organisation des Nations Unies pour l’Éducation, la Science et la Culture (Unesco), qui entretiennent de puis longue date, des relations très fortes, sont déterminés à renforcer leur coopération bilatérale et la hisser à des niveaux supérieurs.",07 Déc 2019
Affaire du policier suspendu: Mise au point de la DGSN ,"Suspendu? Acquitté? Privé de salaire? L’affaire dans laquelle est poursuivi un policier suspendu,  continue de susciter des interrogations. Pour mettre fin à toute fausse allégation, la Direction générale de la sûreté nationale (DGSN), a rendu public une mise au point.",07 Déc 2019
"Retards, négligence…La mésaventure de passagers d’un vol de la RAM",Les scandales n’en finissent pas avec la Royal Air Maroc (RAM). Des passagers en provenance de Valence vers Casablanca à bord d’un avion de la RAM ont vécu un calvaire dans la soirée du mardi 3 décembre au mercredi 4 décembre. Tout cela dans l’indifférence et la négligence les plus totales des responsable de notre compagnie nationale.,08 Déc 2019
Addiction: MAPA plaide pour une action civique commune de prévention,"Addiction sous toutes ses formes, prévention, traitements…étaient au centre des travaux de la première conférence internationale sur les Addictions et Pathologies Associées, organisée par l’association de médecine addictive et pathologies associées (MAPA), en collaboration avec plusieurs partenaires et en présence de professionnels du monde médical, paramédical et autres acteurs de la santé des addictions au Maroc.",07 Déc 2019
Education: Balafrej tacle les enseignants et appelle à prioriser le secteur,Sous le thème « ,08 Déc 2019
Lalla Hasnaa préside la cérémonie du 30ème anniversaire de l’Association Al-Ihssane,"La Princesse Lalla Hasnaa, présidente d’honneur de l’Association Al-Ihssane, a présidé, dimanche à la maison d’enfants Lalla Hasnaa à Casablanca, la cérémonie de célébration du 30ème anniversaire de cette association.",08 Déc 2019
Le patrimoine rifain amazigh au cœur d’une exposition à Al Hoceima,"Une exposition qui jette la lumière sur différents aspects du patrimoine rifain amazigh a été organisée, samedi à Al Hoceima, en marge de la 1ère édition de l’évènement Théâtre des jeunes.",01 Déc 2019
Roger Federer figurera sur une pièce commémorative de 20 francs suisses,"Swissmint, l’organisme qui s’occupe de la frappe de la monnaie suisse, a annoncé, lundi, que Roger Federer figurera sur une pièce commémorative de 20 francs suisses.",03 Déc 2019
Les 10 types de Marocains que l’on rencontre pendant l’hiver,"L’hiver est arrivé plus tôt que prévu au Maroc, ne laissant pas le temps à ses habitants de s’y préparer. Un vent de froid et de désespoir qui souffle fort dans la vie de nombreux marocains, qui approchent cette période chacun à leur façon, en voici 10 types.",01 Déc 2019
FIFM : Lalla Hasnaa préside un dîner royal à l’occasion de l’ouverture du festival à Marrakech,"La princesse Lalla Hasnaa a présidé, samedi au Palais des Congrès à Marrakech, un dîner offert par le roi Mohammed VI, Que Dieu L’Assiste, à l’occasion de l’ouverture officielle de la 18è édition du Festival International du Film de Marrakech.",30 Nov 2019
Apprentissage des adultes: Les « progrès significatifs » du Maroc soulignés par l’Unesco ,"Les « progrès significatifs » faits par le Maroc en matière d’apprentissage des adultes, ont été mis en avant dans le dernier rapport de l’Organisation des Nations unies pour l’Education, la Science et la Culture (Unesco) sur cette question.",06 Déc 2019
Le Maroc à l’honneur au 24è festival de cinéma de Saragosse," Le Maroc était, du 14 au 30 novembre, l’invité d’honneur de la 24ème édition du Festival de cinéma de Saragosse, et s’est vu remettre à cette occasion une distinction spéciale en reconnaissance de la richesse et la diversité de la culture et de l’art marocains dans leurs multiples facettes. ",02 Déc 2019
FIFM2019: Quand Harvey Keitel raconte son amitié avec Martin Scorsese,"C’est dans la grande salle des ambassadeurs du Palais des congrès de Marrakech que le légendaire acteur américain Harvey Keitel a rencontré les professionnels du cinéma, presse, et public, ce lundi 2 décembre, au titre de la 18",03 Déc 2019
DG de l’AMCI: L’avenir de l’Afrique devrait passer par sa jeunesse,"La ville de Dakhla abrite la 6ème Rencontre internationale de son université ouverte, avec la participation d’éminentes personnalités du monde politique et de présidents de nombre d’universités internationales. Intervenant à cette occasion,  l’Ambassadeur directeur général de l’Agence marocaine de coopération internationale (AMCI), Mohamed Methqal, a assuré que « l’avenir durable de notre continent devrait passer par le développement de la jeunesse africaine ».",06 Déc 2019
Le Roi préside une veillée religieuse en commémoration du 21è anniversaire du décès de feu Hassan II,"Le Roi Mohammed VI, accompagné du Prince Héritier Moulay El Hassan et du Prince Moulay Rachid, a présidé, vendredi au Mausolée Mohammed V à Rabat, une veillée religieuse en commémoration du 21ème anniversaire de la disparition de Feu Hassan II.",06 Déc 2019
Le Roi préside une veillée religieuse marquant le 21è anniversaire de la disparition de feu Hassan II,"Le Roi Mohammed VI présidera, ce vendredi au Mausolée Mohammed V à Rabat, une veillée religieuse marquant le 21è anniversaire de la disparition de feu Hassan II, annonce un communiqué du ministère de la Maison Royale, du Protocole et de la Chancellerie. ",06 Déc 2019
CDG: Quels défis pour l’école de demain?,,06 Déc 2019
Lalla Meryem préside une veillée religieuse en commémoration du 21ème anniversaire de la disparition de Feu SM Hassan II,"La Princesse Lalla Meryem a présidé, vendredi à la mosquée Lalla Soukaina à Rabat, une veillée religieuse en commémoration du 21ème anniversaire de la disparition de Feu SM Hassan II.",06 Déc 2019
Début d’incendie au sous-sol d’ARRIBAT CENTER suite à un incident technique,"Un incident technique survenu cette fin de matinée au niveau du sous-sol du centre commercial ARRIBAT CENTER a entraîné un début d’incendie de faible intensité, n’ayant donné lieu à aucun blessé ni dégât matériel.",06 Déc 2019
Test PISA: Voici pourquoi le Maroc se retrouve en dernier,"Intervenant lors d’une conférence consacrée à « l’école de demain » de l’Institut CDG, Soumaya Maghnouj, analyste des politiques d’éducation au sein de la Direction de l’Éducation et des Compétences au sein de l’OCDE, est revenue en détails sur les indicateurs et les résultats de l’enquête PISA (Program for International Student Assessment) menée sur les élèves marocains. ",06 Déc 2019
